"","Subject","Age","Handedness","Sex","Condition","Cond_order","Dailyusage","Socialapps","Vision","date","set_size","correct_answer","response_time","response_timed_out","target_present","pressed_key"
"1","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",NA,NA,NA,NA,NA,""
"2","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,TRUE,0.9026,FALSE,FALSE,"m"
"3","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,TRUE,1.477,FALSE,FALSE,"m"
"4","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,TRUE,0.9374,FALSE,TRUE,"x"
"5","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,TRUE,1.2866,FALSE,TRUE,"x"
"6","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,TRUE,0.6363,FALSE,TRUE,"x"
"7","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,TRUE,1.3188,FALSE,FALSE,"m"
"8","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,TRUE,0.9408,FALSE,FALSE,"m"
"9","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,TRUE,1.7988,FALSE,TRUE,"x"
"10","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,TRUE,1.8708,FALSE,FALSE,"m"
"11","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,TRUE,1.6798,FALSE,FALSE,"m"
"12","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,TRUE,1.5469,FALSE,TRUE,"x"
"13","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,TRUE,1.5674,FALSE,FALSE,"m"
"14","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,TRUE,1.2717,FALSE,TRUE,"x"
"15","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,TRUE,0.8461,FALSE,TRUE,"x"
"16","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,TRUE,1.01,FALSE,TRUE,"x"
"17","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,TRUE,2.1476,FALSE,FALSE,"m"
"18","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,TRUE,1.1574,FALSE,FALSE,"m"
"19","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,TRUE,1.3158,FALSE,FALSE,"m"
"20","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,TRUE,0.6747,FALSE,TRUE,"x"
"21","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,TRUE,1.4498,FALSE,TRUE,"x"
"22","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,TRUE,1.213,FALSE,TRUE,"x"
"23","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,TRUE,1.0761,FALSE,FALSE,"m"
"24","08a2d8ee",20,"R","Female","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,TRUE,1.6501,FALSE,FALSE,"m"
