"","V1","Subject","Age","Handedness","Sex","Condition","Cond_order","Dailyusage","Socialapps","Vision","date","set_size","correct_answer","response_time","response_timed_out","target_present","pressed_key"
"1",1,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",NA,0,NA,NA,NA,""
"2",2,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.160748641879865,FALSE,FALSE,"m"
"3",3,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.263046470259871,FALSE,FALSE,"m"
"4",4,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.166946351537985,FALSE,TRUE,"x"
"5",5,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.229137162245329,FALSE,TRUE,"x"
"6",6,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.113321915386836,FALSE,TRUE,"x"
"7",7,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.234871824630141,FALSE,FALSE,"m"
"8",8,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.167551874895387,FALSE,FALSE,"m"
"9",9,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.320357475086971,FALSE,TRUE,"x"
"10",10,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.333180322655496,FALSE,FALSE,"m"
"11",11,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.299164157577882,FALSE,FALSE,"m"
"12",12,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.275495318107647,FALSE,TRUE,"x"
"13",13,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.279146267762575,FALSE,FALSE,"m"
"14",14,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,0,0.226483545179065,FALSE,TRUE,"x"
"15",15,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.150686268440675,FALSE,TRUE,"x"
"16",16,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.17987605616958,FALSE,TRUE,"x"
